id,mrn_id,product_name,category,product_type,country,color,height,width,length,weight,uom,cft,purchase_amount_per_uom,purchase_amount_per_uom_in_vendor_currency,amount_in_vendor_currency,amount,total_expense,total_amount,barcode,status,po_number,po_product_id,total_quantity,created_by,created_date,last_modified_by,last_modified_date,branch_id,org_id,maker_id,checker_id,entity_name,handler_name,checkers_approved_count,revision,active,entity_id,product_code,country_code,color_code,container_no,customs_duty,clearing_charges,ocean_fright,transportation_charges,container_damage_charges,other_charges,block_number,hsn_code,total_purchase_account_amount,sgst_amount,cgst_amount,igst_amount,total_raw_material_amount_without_tax,po_number_from_mrn,vendor_name,broker_name,vendor_currency,port_of_shipment,country_of_shipment,port_of_discharge,mrn_created_date,currency,volume,density,area,weight_x_vendor_price,price_per_cft,purchase_month,purchase_quarter,predicted_landed_cost,actual_landed_cost,residual,absolute_residual,residual_pct,is_cost_anomaly
513,191,alibaba grey,,,turkey,grey,158.0,155.0,255.0,20.54,SQF,6.24,12847.5,150.0,3081.0,263887.67,,504837.05,RRM 55/ALIBABA/GRY,INITIATED,,386,0.0,,2026-01-07 11:56:49.974458,,2026-01-13 15:19:53.249932,,,,,,,0,1,False,,ALIBABA,,GRY,MEDU6737430,211941.9,14695.98,,14311.5,,,RRM 55,6802,,,,,263887.67,41.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-07 11:56:49.912612,USD,6244950.0,3.2890575585072736e-06,39525.0,3081.0,24.038461538461537,1,1,532844.9983783077,504837.05,-28007.948378307687,28007.948378307687,0.05256303139477475,1
350,180,hms 37,,,turkey,exotic,190.0,170.0,270.0,23.52,SQF,8.72,14353.2,162.0,3810.24,337587.26,,694047.56,RRM 351/HMS37/EXT,INITIATED,,233,0.0,,2026-01-06 10:18:28.442321,,2026-01-11 11:21:07.953693,,,,,,,0,1,False,,HMS37,,EXT,MEDU3809291,244093.12,,88595.26,,,23771.92,RRM 351,6802,,,,,337587.26,30.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-06 10:18:28.423405,USD,8721000.0,2.696938424492604e-06,45900.0,3810.24,18.577981651376145,1,1,666046.8102830552,694047.56,28000.749716944876,28000.749716944876,0.04204021291693474,1
430,186,ocean grey,,,unknown,beige,150.0,180.0,300.0,21.42,SQF,8.1,13020.08,150.0,3213.0,278890.05,,540419.48,RRM 164/OCEAN GREY/BGE,INITIATED,,303,0.0,,2026-01-06 16:56:38.150915,,2026-01-13 15:53:23.877088,,,,,,,0,1,False,,OCEAN GREY,,BGE,MSNU224507-0,231221.03,15356.4,,14952.0,,,RRM 164,6802,,,,,278890.05,36.0,mi stone madencilik sanayi ve tic ltd sti,mehmet mistone,usd,unknown,unknown,unknown,2026-01-06 16:56:38.091577,USD,8100000.0,2.644444444444445e-06,54000.0,3213.0000000000005,18.51851851851852,1,1,568121.4496545586,540419.48,-27701.969654558576,27701.969654558576,0.04876064734292734,1
319,56,bresia arora,,,italy,beige,150.0,140.0,300.0,17.3,ton,6.3,17140.25,185.0,3200.5,296526.33,,627075.98,RRM 229/BRE-ARO/IT/BGE,INITIATED,,187,0.0,,2025-08-06 09:39:41.000309,,2025-08-10 11:10:48.827323,,,,,,,0,1,False,,BRE-ARO,IT,BGE,MSMU1473175,210680.48,12339.13,85953.27,9525.6,,12051.17,RRM 229,6802,,,,,296526.33,27.0,zayed marmo srl,unknown,eur,venezia,italy,tuticorin,2025-08-06 09:39:40.983105,EUR,6300000.0,2.746031746031746e-06,42000.0,3200.5,29.365079365079367,8,3,600840.746232634,627075.98,26235.233767366037,26235.233767366037,0.04366420541859899,1
424,186,marmo yellow spider,,,unknown,beige,230.0,230.0,190.0,26.98,SQF,10.05,13020.08,150.0,4047.0,351281.68,,680661.78,RRM 154/MARMOYELLOW/BGE,INITIATED,,297,0.0,,2026-01-06 16:56:38.139700,,2026-01-13 15:53:23.875953,,,,,,,0,1,False,,MARMOYELLOW,,BGE,MSMU276817-0,291239.19,19324.91,,18816.0,,,RRM 154,6802,,,,,351281.68,36.0,mi stone madencilik sanayi ve tic ltd sti,mehmet mistone,usd,unknown,unknown,unknown,2026-01-06 16:56:38.091577,USD,10051000.0,2.684310018903592e-06,43700.0,4047.0,14.925373134328357,1,1,706873.1563312347,680661.78,-26211.3763312347,26211.3763312347,0.03708073520187867,1
46,4,solo grey,,,turkey,grey,190.0,185.0,280.0,26.74,ton,9.84,17375.04,205.0,5481.7,464608.63,,882411.8,RRM 263/SOL-GRE/TR/GRY,INITIATED,,1,0.0,,2025-07-13 11:47:02.672812,,2025-07-14 13:13:22.866154,,,,,,,0,1,False,,SOL-GRE,TR,GRY,FESU2134893,267271.36,45138.31,,19976.25,85417.25,,RRM 263,6802,,,,,464608.63,1.0,blue eye stone ltd,unknown,usd,jebel ali,turkey,tuticorin,2025-07-13 11:47:02.666946,USD,9842000.0,2.716927453769559e-06,51800.0,5481.7,20.833333333333332,7,3,856808.98557318,882411.8,25602.814426820027,25602.814426820027,0.029881589546697503,1
218,28,antalya white,,,turkey,white,161.0,173.0,288.0,21.74,ton,8.02,14134.32,160.0,3478.4,307280.1,,752149.97,RRM 343/ANT-WHI/TR/WHT,INITIATED,,173,0.0,,2025-07-20 11:58:14.143919,,2026-01-11 11:29:36.088361,,,,,,,0,1,False,,ANT-WHI,TR,WHT,MSMU2550430,222504.58,11059.39,172800.34,13067.6,,25437.96,RRM 343,6802,,,,,307280.1,25.0,a7 dis ticaret a.s,unknown,usd,aliaga,turkey,tuticorin,2025-07-20 11:58:14.129826,USD,8021664.0,2.710160884325247e-06,49824.0,3478.3999999999996,19.950124688279303,7,3,726578.6472821224,752149.97,25571.32271787757,25571.32271787757,0.03519415663195028,1
213,26,silver root,,,turkey,white,199.0,158.0,300.0,25.72,ton,9.43,14057.83,160.0,4115.2,361567.32,,927943.77,RRM 342/SIL-ROO/TR/WHT,INITIATED,,168,0.0,,2025-07-20 10:32:47.185483,,2026-01-11 12:11:49.361242,,,,,,,0,1,False,,SIL-ROO,TR,WHT,MSCU6463462,257735.45,13028.0,185130.0,14000.0,,96483.0,RRM 342,6802,,,,,361567.32,23.0,beyza stone,unknown,usd,izmir,turkey,tuticorin,2025-07-20 10:32:47.181763,USD,9432600.0,2.72671373746369e-06,47400.0,4115.2,16.96712619300106,7,3,903914.179160833,927943.77,24029.59083916701,24029.59083916701,0.026583929529101276,1
109,7,neyriz,,,turkey,white,180.0,180.0,215.0,18.23,ton,6.97,17157.24,200.0,3646.0,312776.52,,530070.45,RRM 206/NEY/TR/WHT,INITIATED,,64,0.0,,2025-07-15 09:38:45.271506,,2025-07-16 11:47:14.409843,,,,,,,0,1,False,,NEY,TR,WHT,CLSU2828242,179370.45,25197.48,,12726.0,,,RRM 206,6802,,,,,312776.52,4.0,royal gth dis ticaret ve sanayi limited sirketi,unknown,usd,jebel ali,turkey,tuticorin,2025-07-15 09:38:45.192036,USD,6966000.0,2.6169968418030435e-06,38700.0,3646.0,28.694404591104735,7,3,553380.571741953,530070.45,-23310.121741953073,23310.121741953073,0.042123129962037806,1
156,12,volacas white,,,greece,white,160.0,200.0,310.0,27.44,ton,9.92,15311.9,170.0,4664.8,420158.53,,918905.64,RRM 235/VOL-CAS-WHI/GR/WHT,INITIATED,,111,0.0,,2025-07-17 10:58:36.039855,,2025-07-17 12:42:44.534942,,,,,,,0,1,False,,VOL-CAS-WHI,GR,WHT,MRKU819594-1,299558.13,20465.49,107062.98,18669.0,,52991.51,RRM 235,6802,,,,,420158.53,9.0,gmc granite marble chatzopoulos ltd,unknown,eur,thessaloniki,greece,tuticorin,2025-07-17 10:58:36.035003,EUR,9920000.0,2.7661290322580646e-06,62000.0,4664.8,17.137096774193548,7,3,896162.9539835232,918905.64,22742.68601647683,22742.68601647683,0.025377846646509532,1
215,27,jasmin white,,,turkey,white,200.0,130.0,300.0,20.89,ton,7.8,14111.95,160.0,3342.4,294798.72,,690442.25,RRM 338/JAS-WHI/TR/WHT,INITIATED,,170,0.0,,2025-07-20 11:34:02.814328,,2026-01-11 12:01:13.828288,,,,,,,0,1,False,,JAS-WHI,TR,WHT,MSNU3119349,208038.97,9440.88,145435.92,11155.2,,21572.56,RRM 338,6802,,,,,294798.72,24.0,beyza stone,unknown,usd,izmir,turkey,tuticorin,2025-07-20 11:34:02.798271,USD,7800000.0,2.678205128205128e-06,39000.0,3342.4,20.512820512820515,7,3,713169.120296827,690442.25,-22726.87029682705,22726.87029682705,0.03186743459583322,1
361,181,hms 36,,,unknown,exotic,200.0,145.0,315.0,23.92,SQF,9.14,14353.2,162.0,3875.04,343328.54,,708510.86,RRM 362/HMS36/EXT,INITIATED,,231,0.0,,2026-01-06 10:26:47.087010,,2026-01-11 16:09:48.417382,,,,,,,0,1,False,,HMS36,,EXT,MEDU545366-1,250106.34,,95300.33,,,19775.65,RRM 362,6802,,,,,343328.54,29.0,happy moon stone,raiyan,usd,unknown,unknown,unknown,2026-01-06 10:26:47.010185,USD,9135000.0,2.6185002736726878e-06,45675.0,3875.0400000000004,17.72428884026258,1,1,685817.8254133558,708510.86,22693.03458664415,22693.03458664415,0.03308901248369655,1
148,10,paris grey,,,turkey,grey,140.0,172.0,215.0,14.25,ton,5.18,13149.59,150.0,2137.5,187381.6,,449987.6,RRM 167/PAR-GRE/TR/GRY,INITIATED,,103,0.0,,2025-07-16 09:49:44.522964,,2025-07-17 08:52:22.159911,,,,,,,0,1,False,,PAR-GRE,TR,GRY,MEDU187464-1,148287.26,10508.61,78087.77,9996.0,,15726.36,RRM 167,6802,,,,,187381.6,7.0,mi stone madencilik sanayi ve tic ltd sti,unknown,usd,izmir,turkey,tuticorin,2025-07-16 09:49:44.501662,USD,5177200.0,2.752453063431971e-06,36980.0,2137.5,28.957528957528957,7,3,427470.4532792855,449987.6,22517.14672071446,22517.14672071446,0.0526753288981192,1
590,196,hhscm 2opc,,,china,exotic,199.0,186.0,269.0,26.96,SQF,9.96,12759.24,140.0,3774.4,343989.24,,851587.86,RRRM 370/HHSCM2OPC/EXT,INITIATED,,456,0.0,,2026-01-07 14:26:17.872748,,2026-01-13 12:18:20.153576,,,,,,,0,1,False,,HHSCM2OPC,,EXT,MEDU5234175,244297.32,13200.48,181313.66,14184.8,,54602.36,RRRM 370,6802,,,,,343989.24,44.0,honhkong henshun supply chain management co ltd,hasnain,usd,qinzhou,china,tuticorin,2026-01-07 14:26:17.855766,USD,9956766.0,2.7077064982746407e-06,50034.0,3774.4,14.056224899598392,1,1,829213.3451579327,851587.86,22374.514842067263,22374.514842067263,0.02698282049212051,1
448,187,hms 18,,,turkey,exotic,198.0,155.0,305.0,25.57,SQF,9.36,13272.0,150.0,3835.5,339365.05,,613520.11,RRM AD/HMS18/EXT,INITIATED,,321,0.0,,2026-01-06 17:46:50.232411,,2026-01-06 17:46:50.232411,,,,,,,0,1,False,,HMS18,,EXT,HPCU2289921,274155.06,,,,,,RRM AD,6802,,,,,339365.05,37.0,happy moon stone,raiyan,usd,aliaga,turkey,tuticorin,2026-01-06 17:46:50.204798,USD,9360450.0,2.7317062748051642e-06,47275.0,3835.5,16.025641025641026,1,1,635651.6113211074,613520.11,-22131.501321107382,22131.501321107382,0.034817030157621005,1
191,17,diana,,,italy,diana,180.0,180.0,200.0,16.14,ton,6.48,16371.0,170.0,2743.8,264227.94,,541890.52,RRM 317/DIA-NA/IT/DIA,INITIATED,,146,0.0,,2025-07-17 14:56:01.190210,,2025-07-18 12:10:15.093171,,,,,,,0,1,False,,DIA-NA,IT,DIA,MEDU1712656,190996.13,7973.31,58646.06,8890.0,,11157.08,RRM 317,6802,,,,,264227.94,14.0,zayed marmo srl,unknown,eur,la spezia,italy,tuticorin,2025-07-17 14:56:01.160513,EUR,6480000.0,2.490740740740741e-06,36000.0,2743.8,26.234567901234566,7,3,520218.36322343623,541890.52,21672.15677656379,21672.15677656379,0.04165973042988391,1
532,191,french vanila,,,turkey,grey,160.0,160.0,305.0,22.19,SQF,7.81,12847.5,150.0,3328.5,285086.04,,545426.79,RRM 76/FRENCH/GRY,INITIATED,,405,0.0,,2026-01-07 11:56:50.012927,,2026-01-13 15:19:53.257058,,,,,,,0,1,False,,FRENCH,,GRY,DFSU1472160,228967.41,15894.59,,15478.75,,,RRM 76,6802,,,,,285086.04,41.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-07 11:56:49.912612,USD,7808000.0,2.841956967213115e-06,48800.0,3328.5,19.206145966709347,1,1,566820.5112933055,545426.79,-21393.721293305513,21393.721293305513,0.03774337884225783,1
63,5,sugar beige,,,turkey,beige,195.0,160.0,305.0,25.99,ton,9.52,13312.5,150.0,3898.5,345991.87,,880001.56,RRM 17/SUG-BEI/TR/BGE,INITIATED,,18,0.0,,2025-07-14 15:17:16.987707,,2025-07-16 09:03:13.125029,,,,,,,0,1,False,,SUG-BEI,TR,BGE,MSMU2177310,281808.88,20325.06,163146.84,14742.0,35705.0,18281.91,RRM 17,6802,,,,,345991.87,2.0,happy moon stone,unknown,usd,gemlik,turkey,tuticorin,2025-07-14 15:17:16.970845,USD,9516000.0,2.7311895754518702e-06,48800.0,3898.4999999999995,15.756302521008404,7,3,859320.9581846949,880001.56,20680.601815305185,20680.601815305185,0.024066213698537862,1
407,186,crema marfil,,,unknown,beige,175.0,200.0,295.0,26.0,SQF,10.33,13020.08,150.0,3900.0,338522.0,,655961.17,RRM 137/CREMA/BGE,INITIATED,,280,0.0,,2026-01-06 16:56:38.108658,,2026-01-13 15:53:23.870588,,,,,,,0,1,False,,CREMA,,BGE,MSMU214914-0,280660.44,18634.73,,18144.0,,,RRM 137,6802,,,,,338522.0,36.0,mi stone madencilik sanayi ve tic ltd sti,mehmet mistone,usd,unknown,unknown,unknown,2026-01-06 16:56:38.091577,USD,10325000.0,2.5181598062953993e-06,59000.0,3900.0,14.52081316553727,1,1,676624.7569789634,655961.17,-20663.586978963343,20663.586978963343,0.030539212119910335,1
211,25,harisona red gold,,,turkey,red,190.0,180.0,290.0,26.38,ton,9.92,12930.0,150.0,3957.0,341093.4,,904204.72,RRM 336/HAR-RED-GOLD/TR/RED,IN_PRODUCTION,,166,0.0,,2025-07-18 11:14:13.169266,,2026-01-11 12:41:26.994662,,,,,,,0,1,False,,HAR-RED-GOLD,TR,RED,MSNU2985858,262005.72,12116.78,231196.24,13969.2,,43823.38,RRM 336,6802,,,,,341093.4,22.0,happy moon stone,unknown,usd,aliaga,turkey,tuticorin,2025-07-18 11:14:13.166248,USD,9918000.0,2.6598104456543656e-06,52200.0,3957.0,15.120967741935484,7,3,884302.8578242996,904204.72,19901.86217570037,19901.86217570037,0.02250570830978207,1
569,195,hms 3opc,,,turkey,exotic,200.0,160.0,300.0,25.99,SQF,9.6,15457.09,170.0,4418.3,401729.66,,1185196.15,RRM 391/HMS3OPC/EXT,INITIATED,,430,0.0,,2026-01-07 14:05:33.256793,,2026-01-13 12:02:25.915543,,,,,,,0,1,False,,HMS3OPC,,EXT,HLBU3449978,226417.21,48608.1,79293.53,14448.0,,414699.65,RRM 391,6802,,,,,401729.66,43.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-07 14:05:33.224548,USD,9600000.0,2.7072916666666665e-06,48000.0,4418.3,17.708333333333336,1,1,1165679.9552799966,1185196.15,19516.19472000329,19516.19472000329,0.01674232676954241,1
553,192,berber 1opc,,,turkey,beige,202.0,153.0,280.0,23.16,SQF,8.65,15172.79,170.0,3937.2,351401.82,,666748.6,RRM 366/BERBER/BGE,INITIATED,,426,0.0,,2026-01-07 12:52:52.924008,,2026-01-13 12:13:01.963482,,,,,,,0,1,False,,BERBER,,BGE,TEMU1455904,199210.57,11393.67,69018.77,12824.0,,22899.77,RRM 366,6802,,,,,351401.82,42.0,berberoglu mermer maden dis ticaret a s,prasanna,usd,mersin,turkey,tuticorin,2026-01-07 12:52:52.906788,USD,8653680.0,2.6763180519732646e-06,42840.0,3937.2,19.653179190751445,1,1,686133.2947607388,666748.6,-19384.694760738872,19384.694760738872,0.028252082953500308,1
60,4,zatred,,,turkey,exotic,160.0,150.0,295.0,19.78,ton,7.08,16951.26,200.0,3956.0,335295.93,,575153.59,RRM 276/ZAT-RED/TR/EXT,INITIATED,,15,0.0,,2025-07-13 11:47:02.716734,,2025-07-14 13:13:22.865631,,,,,,,0,1,False,,ZAT-RED,TR,EXT,WEDU1951990,192882.77,32563.64,,14411.25,,,RRM 276,6802,,,,,335295.93,1.0,blue eye stone ltd,unknown,usd,jebel ali,turkey,tuticorin,2025-07-13 11:47:02.666946,USD,7080000.0,2.7937853107344632e-06,44250.0,3956.0,28.248587570621467,7,3,594198.2331431437,575153.59,-19044.643143143738,19044.643143143738,0.032050992549073835,1
453,187,vera beige,,,turkey,exotic,180.0,165.0,265.0,23.12,SQF,7.87,13272.0,150.0,3468.0,306848.65,,554735.43,RRM 107/VERABEIGE/EXT,INITIATED,,326,0.0,,2026-01-06 17:46:50.240896,,2026-01-06 17:46:50.240896,,,,,,,0,1,False,,VERABEIGE,,EXT,MSDU5443637,247886.78,,,,,,RRM 107,6802,,,,,306848.65,37.0,happy moon stone,raiyan,usd,aliaga,turkey,tuticorin,2026-01-06 17:46:50.204798,USD,7870500.0,2.9375516167969e-06,43725.0,3468.0,19.05972045743329,1,1,573539.2903456806,554735.43,-18803.8603456805,18803.8603456805,0.0327856533322192,1
125,8,sugar beige,,,turkey,beige,190.0,177.0,280.0,25.9,ton,9.42,12847.5,150.0,3885.0,332750.25,,798436.7,RRM 32/SUG-BEI/TR/BGE,INITIATED,,80,0.0,,2025-07-16 09:38:09.646551,,2025-07-16 12:24:45.908375,,,,,,,0,1,False,,SUG-BEI,TR,BGE,FCIU2202090,267233.9,19089.92,142707.8,18515.0,,18139.83,RRM 32,6802,,,,,332750.25,5.0,happy moon stone,unknown,usd,izmir,turkey,tuticorin,2025-07-16 09:38:09.611545,USD,9416400.0,2.750520368718406e-06,49560.0,3885.0,15.923566878980893,7,3,816866.1065596906,798436.7,-18429.4065596906,18429.4065596906,0.022561110580665174,1
162,13,micheal anglo,,,portugal,beige,85.0,170.0,310.0,24.5,ton,4.48,14514.92,160.0,3920.0,355615.53,,778584.67,RRM 248/MIC-ANG/PT/BGE,INITIATED,,117,0.0,,2025-07-17 11:18:52.713085,,2025-07-17 13:22:03.869851,,,,,,,0,1,False,,MIC-ANG,PT,BGE,TGBU2685671,255096.2,17891.76,94480.97,16490.25,,39009.96,RRM 248,6802,,,,,355615.53,10.0,granoguli lda,unknown,eur,sines,portugal,tuticorin,2025-07-17 11:18:52.707876,EUR,4479500.0,5.469360419689698e-06,52700.0,3920.0,35.71428571428571,7,3,796761.3807290595,778584.67,-18176.710729059414,18176.710729059414,0.022813242670505947,1
189,17,diana,,,italy,diana,180.0,180.0,200.0,18.27,ton,6.48,16371.0,170.0,3105.9,299098.17,,613431.09,RRM 316/DIA-NA/IT/DIA,INITIATED,,144,0.0,,2025-07-17 14:56:01.180081,,2025-07-18 12:10:15.092549,,,,,,,0,1,False,,DIA-NA,IT,DIA,UETU2591590,216201.94,9028.05,66403.96,10066.0,,12632.97,RRM 316,6802,,,,,299098.17,14.0,zayed marmo srl,unknown,eur,la spezia,italy,tuticorin,2025-07-17 14:56:01.160513,EUR,6480000.0,2.8194444444444445e-06,36000.0,3105.9,26.234567901234566,7,3,631565.0257433843,613431.09,-18133.935743384296,18133.935743384296,0.028712697828762332,1
